seller_285391,jay,1234,indore,jay@gmail.com
seller_213557,vijay,1234,bhopal,vijay@gmail.com
seller_193485,divya,5678,jaipur,divya@gmail.com
seller_154678,sanjay,9876,delhi,sanjay@gmail.com
seller_235698,preeti,4321,mumbai,preeti@gmail.com
seller_385714,arjun,8765,jaipur,arjun@gmail.com
seller_176432,kriti,5678,ahmedabad,kriti@gmail.com
seller_347896,rohan,9876,mumbai,rohan@gmail.com
seller_209387,neha,3456,delhi,neha@gmail.com
seller_428691,rajesh,2345,bangalore,rajesh@gmail.com
seller_314919,demo,demo,demo,demo
